#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
1575,Tari Eason,UC,23,19.5,2.9,6.3,0.462,0.3,1.3,0.241,1.2,2.0,0.574,2.2,2.6,2.3,3.7,5.9,1.3,1.2,1.3,7.3,2021
1576,Luke Bumbalough,BSU,23,29.2,2.4,6.5,0.376,1.7,4.6,0.358,0.8,1.3,0.581,1.1,1.9,0.3,2.1,2.4,2.8,0.7,0.0,7.3,2021
1577,LaMarcus Lee,SUBR,10,23.3,2.7,5.6,0.482,0.9,2.1,0.429,1.0,1.5,0.667,1.7,2.5,1.0,2.7,3.7,1.3,1.4,0.3,7.3,2021
1578,Karrington Wallace,CCSU,17,19.6,2.9,5.5,0.5379999999999999,0.1,0.2,0.25,1.4,1.7,0.7929999999999999,1.5,2.4,1.6,3.1,4.7,0.9,0.5,1.4,7.3,2021
1579,Jordan Cintron,NU,17,18.6,2.8,4.3,0.644,0.0,0.1,0.0,1.8,2.6,0.667,0.7,2.8,1.4,2.3,3.7,0.9,0.9,0.1,7.3,2021
1580,DeAndre Thomas,MSMU,17,23.6,2.2,5.7,0.381,1.6,3.9,0.409,1.4,1.9,0.7190000000000001,0.9,1.3,0.4,2.1,2.5,1.0,0.4,0.1,7.3,2021
1581,Donovann Toatley,MU,17,15.6,2.4,7.0,0.345,1.3,3.2,0.4,1.2,1.7,0.69,1.2,1.4,0.1,1.1,1.2,0.9,0.7,0.0,7.3,2021
1582,Alex Peterson,KENN,24,26.1,3.0,5.6,0.545,0.0,0.1,0.0,1.2,2.5,0.475,1.7,1.6,2.0,3.8,5.8,0.5,0.7,0.4,7.3,2021
1583,Bryce Williams,OSU,28,23.8,2.3,6.4,0.35600000000000004,1.2,3.8,0.318,1.5,2.0,0.75,1.8,1.7,0.2,1.5,1.8,1.9,1.0,0.7,7.3,2021
1584,Shawn Stith,CSUB,21,18.5,2.6,5.0,0.519,0.0,0.1,0.333,2.1,3.0,0.688,1.8,3.0,1.4,2.1,3.5,1.0,0.2,0.1,7.3,2021
1585,Romeo Weems,DEP,18,28.9,2.8,7.4,0.376,0.8,2.3,0.366,0.9,1.3,0.696,2.3,2.7,1.3,3.7,5.0,0.9,1.3,0.6,7.3,2021
1586,Trayden Williams,RMU,18,23.3,3.1,7.8,0.39,0.7,2.2,0.333,0.4,0.8,0.5329999999999999,2.2,0.7,0.3,1.5,1.8,1.9,1.1,0.0,7.3,2021
1587,Michal Kozak,WSU,23,22.5,2.6,5.0,0.522,1.0,2.6,0.39,1.0,1.4,0.727,1.0,2.1,0.8,3.4,4.2,1.7,0.4,0.9,7.3,2021
1588,Jonathan Aybar,UNF,23,21.4,2.6,5.4,0.484,0.4,1.4,0.281,1.7,2.7,0.613,2.0,2.9,1.8,3.2,5.0,0.8,0.6,1.2,7.3,2021
1589,Aher Uguak,L-IL,31,24.4,2.8,4.5,0.619,0.4,1.1,0.333,1.4,1.8,0.764,1.1,1.8,1.0,2.9,3.9,1.2,0.9,0.0,7.3,2021
1590,Trey Pulliam,SDSU,28,26.0,3.0,7.4,0.411,0.5,1.7,0.271,0.7,1.1,0.667,1.5,2.0,0.5,2.5,3.0,3.5,1.4,0.0,7.2,2021
1591,Clyde Trapp,CLEM,24,28.8,2.7,6.5,0.419,0.8,2.4,0.35100000000000003,1.0,1.6,0.615,2.0,1.6,0.5,4.8,5.3,2.5,0.6,0.4,7.2,2021
1592,Lenell Henry,PVAMU,20,23.1,3.0,6.2,0.488,0.0,0.4,0.0,1.1,1.6,0.6970000000000001,1.8,3.5,2.4,3.8,6.2,1.1,0.5,1.1,7.2,2021
1593,Ajani Kennedy,UTM,24,26.2,2.7,6.6,0.409,0.7,2.5,0.28300000000000003,1.1,1.7,0.659,1.8,3.0,1.5,3.5,4.9,1.1,0.7,0.4,7.2,2021
1594,Mark Crowe,POLY,24,28.4,2.2,6.0,0.3720000000000001,2.0,5.3,0.378,0.8,1.2,0.6,0.9,2.2,0.5,2.0,2.5,1.0,1.1,0.3,7.2,2021
1595,Miryne Thomas,BSU,20,20.6,2.4,4.8,0.495,1.2,2.8,0.446,1.2,1.9,0.632,2.2,2.6,1.1,3.9,5.0,1.1,0.5,0.1,7.2,2021
1596,J.P. Moorman,TEM,16,26.6,2.6,6.6,0.396,1.2,3.3,0.358,0.8,1.2,0.684,1.3,2.9,0.9,4.4,5.3,2.2,0.7,0.2,7.2,2021
1597,Darius McNeill,SMU,12,23.9,2.7,6.2,0.4270000000000001,1.3,3.4,0.39,0.6,0.8,0.778,1.0,1.8,0.6,2.0,2.6,1.0,0.7,0.1,7.2,2021
1598,Brandon Bradsher,L-MD,8,20.5,2.5,5.2,0.476,1.5,3.2,0.462,0.8,1.1,0.667,1.1,1.4,0.2,1.0,1.2,0.8,0.8,0.0,7.2,2021
1599,Zach Reichle,OSU,33,25.9,2.2,5.4,0.407,1.1,3.2,0.337,1.8,2.2,0.8220000000000001,1.4,1.7,0.5,2.5,3.0,2.7,0.6,0.1,7.2,2021
1600,Kamari Brown,GSU,25,19.7,2.7,6.8,0.402,1.2,4.0,0.3,0.6,0.8,0.789,0.5,0.7,0.9,2.0,2.9,0.7,0.4,0.5,7.2,2021
1601,Jarod Greene,DSC,17,16.0,3.0,5.5,0.5429999999999999,0.0,0.0,0.0,1.2,1.8,0.7,1.3,2.9,1.4,2.4,3.8,0.5,0.3,0.4,7.2,2021
1602,Jamir Watkins,VCU,26,18.3,2.3,6.0,0.389,0.8,2.9,0.289,1.7,2.3,0.746,1.1,1.6,0.5,2.0,2.6,0.7,0.9,0.2,7.2,2021
1603,Keegan Murray,UI,31,17.9,2.7,5.4,0.506,0.5,1.7,0.29600000000000004,1.3,1.7,0.755,0.6,1.9,1.6,3.5,5.1,0.5,0.8,1.3,7.2,2021
1604,James Beck,MU,23,18.8,2.8,5.7,0.489,0.0,0.1,0.0,1.7,2.5,0.655,1.4,2.2,1.6,3.3,4.9,0.4,0.5,0.5,7.2,2021
1605,Ali Ali,AKR,23,24.2,2.6,5.8,0.444,1.0,2.9,0.343,1.1,1.5,0.735,1.3,1.7,0.9,2.6,3.4,1.3,0.3,0.3,7.2,2021
1606,Junior Ballard,CSUF,23,25.3,2.2,6.3,0.349,1.7,5.0,0.336,1.1,1.6,0.6759999999999999,0.8,1.7,0.3,2.3,2.6,0.7,0.5,0.2,7.2,2021
1607,Marquise Kennedy,L-IL,28,18.1,2.6,5.2,0.49,0.3,1.2,0.242,1.8,2.2,0.8059999999999999,1.1,1.5,1.0,2.6,3.6,1.4,1.0,0.4,7.2,2021
1608,Jalen Cobb,FORD,14,35.1,2.7,9.1,0.299,0.9,3.7,0.231,0.9,1.4,0.65,2.4,2.3,0.4,4.1,4.5,3.6,1.7,0.4,7.2,2021
1609,Makale Foreman,Cal,29,20.6,2.3,6.9,0.332,1.5,4.8,0.317,1.1,1.3,0.868,1.1,1.3,0.2,1.0,1.2,1.6,0.5,0.0,7.2,2021
1610,Omar Habwe,SB,20,18.9,2.4,5.2,0.462,0.7,2.0,0.317,1.8,2.5,0.6859999999999999,0.7,1.9,1.2,1.9,3.0,1.1,0.7,0.1,7.2,2021
1611,Deven Richmond,HU,5,18.6,2.4,4.0,0.6,0.0,0.2,0.0,2.4,3.8,0.632,0.4,1.6,0.8,1.6,2.4,0.4,0.4,0.0,7.2,2021
1612,Marquell Fraser,UDM,21,28.9,2.7,5.7,0.475,0.0,0.4,0.111,1.7,2.1,0.8,1.5,1.7,1.4,3.5,4.9,3.3,1.2,0.0,7.2,2021
1613,De'Vondre Perry,TEM,16,24.3,2.6,6.4,0.408,1.1,3.2,0.333,0.9,1.4,0.636,1.1,1.6,1.3,3.2,4.5,1.1,0.7,0.6,7.2,2021
1614,Selton Miguel,KSU,29,27.4,2.4,7.3,0.33,0.7,3.1,0.225,1.7,2.4,0.6859999999999999,2.5,2.3,0.8,2.3,3.1,2.2,0.9,0.1,7.2,2021
1615,Jacob Tryon,SU,18,18.1,2.9,5.6,0.53,0.8,2.0,0.417,0.4,1.0,0.444,0.9,1.7,1.2,3.4,4.6,0.8,0.2,0.9,7.2,2021
1616,Dishon Jackson,WSU,24,20.5,2.5,5.2,0.484,0.0,0.0,0.0,2.2,3.2,0.675,1.2,2.7,1.5,2.8,4.2,0.2,0.4,0.9,7.2,2021
1617,Omar Croskey,SCSU,18,20.6,2.6,6.3,0.412,0.8,2.6,0.304,1.2,1.6,0.7240000000000001,1.5,2.2,1.2,1.9,3.1,0.5,1.0,0.2,7.2,2021
1618,Gabe Brown,MSU,25,20.7,2.6,5.5,0.471,1.4,3.2,0.42,0.6,0.7,0.882,0.6,0.8,0.8,1.9,2.7,0.5,0.4,0.5,7.2,2021
1619,Pauly Paulicap,DEP,19,22.3,2.9,5.3,0.5539999999999999,0.0,0.0,0.0,1.3,2.1,0.6,1.5,2.9,2.6,3.4,6.1,0.1,0.5,1.3,7.2,2021
1620,Jordan Ivy-Curry,UTSA,26,19.8,2.6,6.4,0.401,0.9,2.5,0.375,1.1,1.6,0.6829999999999999,0.8,1.7,1.5,1.3,2.8,1.5,0.7,0.1,7.2,2021
1621,Rob Phinisee,IU,27,27.2,2.6,7.4,0.34700000000000003,0.9,3.6,0.26,1.1,1.7,0.638,1.3,2.6,0.1,2.2,2.3,2.9,0.8,0.4,7.1,2021
1622,Braden Bell,MAR,21,23.5,2.7,6.7,0.407,1.1,3.5,0.324,0.6,0.9,0.667,1.0,1.7,0.9,3.9,4.7,1.0,0.7,0.4,7.1,2021
1623,Jalin Anderson,LMU,21,31.1,2.4,7.7,0.317,1.0,3.5,0.27,1.3,1.7,0.778,2.3,2.5,0.5,1.7,2.2,3.4,0.8,0.2,7.1,2021
