Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Nicholas King,MTSU,33,32.9,7.8,15.8,0.495,1.3,3.3,0.389,4.1,5.5,0.732,2.8,1.5,2.4,6.1,8.4,2,0.7,0.2,21
Kahlil Dukes,NU,33,33.9,6.8,14.6,0.465,2.9,6.9,0.417,4.5,4.9,0.914,2.5,1.7,0.2,2,2.2,3.3,0.8,0,21
Tramaine Isabell,DREX,28,34.4,7.2,15.2,0.474,1.8,5.2,0.34,4.7,6.2,0.763,2.9,1.9,1.1,6.4,7.5,3.4,1.2,0,20.9
B.J. Johnson,LU,27,35.2,7.2,16.1,0.446,1.7,4.9,0.359,4.7,5.4,0.869,2.5,2.1,2.1,6.2,8.3,0.7,1.3,0.7,20.8
Jerome Robinson,BC,35,36,7.1,14.7,0.485,2.3,5.7,0.409,4.2,5,0.83,2.7,2.5,0.5,3.1,3.6,3.3,0.9,0.1,20.7
Eugene German,NIU,32,31,7.6,16.1,0.471,1.9,5.7,0.339,3.5,4.5,0.771,2.1,1.6,0.4,3.4,3.8,1.7,0.9,0.2,20.6
Joel Hernandez,LIU,35,32.9,7.3,15.9,0.461,1.7,4.4,0.374,4.2,6.4,0.664,3,2.6,1.9,3.9,5.8,2.6,0.5,0.5,20.5
Kevin Hervey,UTA,33,32.2,7.4,16.5,0.446,2.3,6.9,0.339,3.4,4.2,0.807,2.7,1.8,2.3,6.2,8.5,2.2,1.2,0.6,20.5
Zach Thomas,BU,35,31.8,5.9,12.7,0.462,1.8,4.7,0.382,6.9,8.9,0.777,2.9,2,1.3,7.8,9.1,2.1,1,0.7,20.5
Andrew Rowsey,MU,35,32.7,5.9,14.1,0.42,3.6,8.6,0.415,5,5.5,0.902,2.8,2.4,0.4,2.6,3,4.8,0.9,0.2,20.5
Markus Howard,MU,34,31.5,7,15.1,0.464,3.3,8.1,0.404,3.1,3.3,0.938,2.5,2.5,0.4,2.8,3.2,2.8,1,0.1,20.4
