pk,tm,player1,college,conf
26,CLE,Dylan Windler,Belmont,OVC
22,DEN,Kenneth Faried,Morehead State University,OVC
34,HOU,Isaiah Canaan,Murray State,OVC
14,OKC,Cameron Payne,Murray State,OVC
47,UTA,Kevin Murphy,Tennessee Technological University,OVC
2,MEM,Ja Morant,Murray State,OVC
20,BOS,Matisse Thybulle,Washington,P12
10,SAC,Spencer Hawes,Washington,P12
16,WAS,Nick Young,USC,P12
26,HOU,Aaron Brooks,Oregon,P12
27,DET,Arron Afflalo,UCLA,P12
32,BOS,Gabe Pruitt,USC,P12
33,SAS,Marcus Williams,Arizona,P12
3,MIN,O.J. Mayo,USC,P12
4,SEA,Russell Westbrook,UCLA,P12
5,MEM,Kevin Love,UCLA,P12
10,NJN,Brook Lopez,Stanford,P12
11,IND,Jerryd Bayless,Arizona,P12
15,PHO,Robin Lopez,Stanford,P12
21,NJN,Ryan Anderson,California,P12
37,MIL,Luc Mbah a Moute,UCLA,P12
38,CHA,Kyle Weaver,Washington State,P12
48,PHO,Malik Hairston,Oregon,P12
50,SEA,DeVon Hardin,California,P12
54,HOU,Maarty Leunen,Oregon,P12
3,OKC,James Harden,Arizona State,P12
8,NYK,Jordan Hill,Arizona,P12
9,TOR,DeMar DeRozan,USC,P12
17,PHI,Jrue Holiday,UCLA,P12
21,NOH,Darren Collison,UCLA,P12
26,CHI,Taj Gibson,USC,P12
31,SAC,Jeff Ayres,Arizona State,P12
38,POR,Jon Brockman,Washington,P12
44,DET,Chase Budinger,Arizona,P12
26,OKC,Quincy Pondexter,Washington,P12
39,NYK,Landry Fields,Stanford,P12
2,MIN,Derrick Williams,Arizona,P12
11,GSW,Klay Thompson,Washington State,P12
12,UTA,Alec Burks,Colorado,P12
16,PHI,Nikola Vučević,USC,P12
35,SAC,Tyler Honeycutt,UCLA,P12
43,CHI,Malcolm Lee,UCLA,P12
60,SAC,Isaiah Thomas,Washington,P12
8,TOR,Terrence Ross,Washington,P12
24,CLE,Jared Cunningham,Oregon State,P12
25,MEM,Tony Wroten,Washington,P12
14,UTA,Shabazz Muhammad,UCLA,P12
23,IND,Solomon Hill,Arizona,P12
26,MIN,Andre Roberson,Colorado,P12
31,CLE,Allen Crabbe,California,P12
33,CLE,Carrick Felix,Arizona State,P12
40,POR,Grant Jerrett,Arizona,P12
54,WAS,Arsalan Kazemi,Oregon,P12
4,ORL,Aaron Gordon,Arizona,P12
13,MIN,Zach LaVine,UCLA,P12
22,MEM,Jordan Adams,UCLA,P12
28,LAC,C.J. Wilcox,Washington,P12
29,OKC,Josh Huestis,Stanford,P12
30,SAS,Kyle Anderson,UCLA,P12
38,DET,Spencer Dinwiddie,Colorado,P12
42,HOU,Nick Johnson,Arizona,P12
45,CHH,Dwight Powell,Stanford,P12
