#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
11,Norris Cole,CSU,36,35.7,7.0,15.9,0.439,1.4,4.1,0.342,6.3,7.4,0.853,2.7,2.4,0.8,5.1,5.8,5.3,2.2,0.1,21.7
12,Klay Thompson,WSU,34,34.7,7.1,16.2,0.436,2.9,7.2,0.39799999999999996,4.6,5.4,0.838,3.4,2.9,0.7,4.5,5.2,3.7,1.6,0.9,21.6
13,Devon Beitzel,UNC,32,35.4,6.3,13.2,0.47700000000000004,2.7,6.9,0.39399999999999996,6.2,6.8,0.904,2.4,1.8,0.3,2.9,3.2,1.8,1.4,0.0,21.5
14,Orlando Johnson,UCSB,32,33.3,6.9,14.6,0.475,2.1,5.1,0.405,5.1,6.4,0.804,2.7,2.1,1.5,4.7,6.2,2.9,1.2,0.5,21.1
15,Donald Sims,ASU,31,37.9,6.4,14.4,0.44299999999999995,2.5,7.1,0.355,5.7,6.6,0.8640000000000001,2.8,1.5,0.4,3.4,3.7,3.6,1.7,0.2,21.0
16,Andrew Nicholson,STBN,31,33.8,7.6,13.4,0.5710000000000001,0.2,0.7,0.261,5.3,7.5,0.711,3.2,3.0,1.7,5.6,7.3,1.0,0.5,1.5,20.8
17,Nolan Smith,DUKE,37,34.0,7.0,15.4,0.45799999999999996,1.5,4.4,0.35,5.1,6.2,0.813,3.2,1.9,1.2,3.3,4.5,5.1,1.2,0.1,20.6
18,JaJuan Johnson,PU,34,35.4,7.6,15.3,0.494,0.4,1.5,0.294,5.0,6.1,0.809,1.6,1.6,2.4,6.1,8.6,1.0,0.9,2.3,20.5
19,Alec Burks,CU,38,31.4,6.6,14.1,0.469,0.7,2.5,0.292,6.6,7.9,0.825,2.6,2.3,2.4,4.1,6.5,2.9,1.1,0.3,20.5
20,Vlad Moldoveanu,AU,30,33.7,6.5,15.0,0.43700000000000006,2.0,5.4,0.368,5.3,6.4,0.8240000000000001,1.9,2.3,1.6,4.8,6.4,2.0,0.4,0.5,20.4
21,Talor Battle,PSU,34,38.1,6.6,15.6,0.423,3.1,8.4,0.369,3.9,5.1,0.7490000000000001,2.0,1.5,0.5,3.9,4.4,2.9,0.8,0.1,20.2
22,Jacob Pullen,KSU,31,32.6,6.2,14.5,0.426,2.4,6.3,0.381,5.5,7.1,0.773,3.1,1.8,0.6,2.3,2.9,3.7,1.6,0.1,20.2
23,Kevin Foster,SCU,38,32.1,6.0,15.6,0.386,3.7,10.0,0.368,4.4,5.5,0.8,3.1,2.4,0.4,2.4,2.7,3.7,1.6,0.1,20.2
24,Cameron Jones,NAU,32,33.7,7.8,17.1,0.457,1.2,2.8,0.40700000000000003,3.3,4.2,0.797,2.2,2.0,1.0,3.6,4.6,3.2,0.9,0.1,20.1
25,Noah Dahlman,WC,34,31.3,7.5,12.3,0.612,0.0,0.0,0.0,5.1,6.7,0.758,1.2,2.2,2.8,2.9,5.6,1.2,0.8,0.4,20.1
26,Justin Hurtt,TU,32,33.7,6.4,15.4,0.41700000000000004,2.7,7.3,0.368,4.4,5.5,0.8109999999999999,2.8,1.7,0.5,3.3,3.8,2.4,0.5,0.2,20.0
27,Brandon Bowdry,EMU,30,32.3,6.8,15.3,0.446,0.9,2.7,0.34600000000000003,5.3,7.8,0.6809999999999999,3.2,2.5,2.4,7.1,9.5,1.8,1.1,0.3,19.9
28,Tu Holloway,XAV,32,38.4,5.2,12.4,0.424,1.9,5.4,0.345,7.3,8.4,0.87,3.4,1.9,0.6,4.4,4.9,5.4,1.4,0.1,19.7
29,Alex Young,IUPUI,33,36.6,7.4,15.5,0.47600000000000003,1.2,3.6,0.33299999999999996,3.7,5.0,0.733,3.4,2.7,2.1,4.3,6.4,2.4,1.4,0.8,19.7
30,Ken Horton,CCSU,31,35.4,6.9,14.0,0.49200000000000005,1.9,5.1,0.376,3.8,4.4,0.8690000000000001,1.6,2.4,3.0,5.9,8.9,1.9,1.4,1.6,19.5
31,Derrick Williams,U of A,38,30.0,5.9,10.0,0.595,1.1,1.9,0.568,6.5,8.7,0.746,2.6,2.8,2.8,5.5,8.3,1.1,1.0,0.7,19.5
32,John Jenkins,VU,32,34.5,5.9,12.8,0.462,3.1,7.7,0.408,4.5,5.0,0.894,1.6,1.4,0.5,2.4,3.0,1.2,0.8,0.3,19.5
33,LaceDarius Dunn,BU,28,35.2,6.0,15.2,0.39799999999999996,3.2,8.9,0.35700000000000004,4.2,5.1,0.826,3.6,2.4,0.8,2.9,3.6,2.1,1.4,0.0,19.5
34,Nate Wolters,SDSU,31,33.2,6.5,14.5,0.447,1.4,3.4,0.40399999999999997,5.2,6.5,0.7959999999999999,2.2,2.0,1.0,3.6,4.6,6.0,1.3,0.2,19.5
35,Dominique Morrison,ORU,31,34.9,6.7,13.0,0.514,1.3,3.2,0.40399999999999997,4.8,6.2,0.78,1.6,2.7,1.3,3.7,5.0,2.1,0.6,0.5,19.5
36,Gilberto Clavell,SHSU,31,30.1,6.9,12.3,0.5589999999999999,0.1,0.2,0.28600000000000003,5.6,8.0,0.7090000000000001,3.1,3.5,3.2,4.0,7.3,0.9,0.6,0.1,19.5
37,Randy Culpepper,UTEP,35,36.0,6.5,14.9,0.436,1.9,5.8,0.324,4.4,5.8,0.759,2.3,2.4,0.6,2.3,2.9,3.1,2.0,0.3,19.3
38,John Holland,BU,34,33.9,6.0,15.5,0.386,2.2,6.8,0.33,5.1,5.9,0.86,2.1,2.3,1.3,4.5,5.8,1.6,1.4,0.3,19.2
